Al,"20/08/2025"
 
Ticker dell'emittente,Nome,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
"INVE B","INVESTOR CLASS B","Finanziari","Azionario","79.765.460,93","0,07","79.765.460,93","2.586.705,00","30,84","Svezia","Nasdaq Omx Nordic","SEK"
"LNG","CHENIERE ENERGY INC","Energia","Azionario","79.551.182,67","0,07","79.551.182,67","337.067,00","236,01","Stati Uniti","New York Stock Exchange Inc.","USD"
"KMI","KINDER MORGAN INC","Energia","Azionario","79.497.572,85","0,07","79.497.572,85","2.992.005,00","26,57","Stati Uniti","New York Stock Exchange Inc.","USD"
"IDXX","IDEXX LABORATORIES INC","Salute","Azionario","79.115.532,95","0,07","79.115.532,95","123.647,00","639,85","Stati Uniti","NASDAQ","USD"
"SRE","SEMPRA","Imprese di servizi di pubblica utilità","Azionario","79.025.143,20","0,07","79.025.143,20","959.043,00","82,40","Stati Uniti","New York Stock Exchange Inc.","USD"
"7267","HONDA MOTOR LTD","Consumi Discrezionali","Azionario","78.913.191,33","0,07","78.913.191,33","6.813.650,00","11,58","Giappone","Tokyo Stock Exchange","JPY"
"CTVA","CORTEVA INC","Materiali","Azionario","78.813.872,64","0,07","78.813.872,64","1.080.234,00","72,96","Stati Uniti","New York Stock Exchange Inc.","USD"
"FTNT","FORTINET INC","IT","Azionario","78.647.355,88","0,07","78.647.355,88","987.908,00","79,61","Stati Uniti","NASDAQ","USD"
"APO","APOLLO GLOBAL MANAGEMENT INC","Finanziari","Azionario","78.351.574,16","0,07","78.351.574,16","578.924,00","135,34","Stati Uniti","New York Stock Exchange Inc.","USD"
"O","REALTY INCOME REIT CORP","Immobili","Azionario","78.178.185,50","0,07","78.178.185,50","1.305.145,00","59,90","Stati Uniti","New York Stock Exchange Inc.","USD"
"NDA FI","NORDEA BANK","Finanziari","Azionario","77.564.883,90","0,07","77.564.883,90","4.904.505,00","15,82","Finlandia","Nasdaq Omx Helsinki Ltd.","EUR"
"SU","SUNCOR ENERGY INC","Energia","Azionario","77.558.848,67","0,07","77.558.848,67","2.007.708,00","38,63","Canada","Toronto Stock Exchange","CAD"
"CNR","CANADIAN NATIONAL RAILWAY","Industriali","Azionario","77.489.352,42","0,07","77.489.352,42","825.047,00","93,92","Canada","Toronto Stock Exchange","CAD"
"EBAY","EBAY INC","Consumi Discrezionali","Azionario","76.940.201,70","0,07","76.940.201,70","775.998,00","99,15","Stati Uniti","NASDAQ","USD"
"D","DOMINION ENERGY INC","Imprese di servizi di pubblica utilità","Azionario","76.803.290,56","0,07","76.803.290,56","1.248.428,00","61,52","Stati Uniti","New York Stock Exchange Inc.","USD"
"RSG","REPUBLIC SERVICES INC","Industriali","Azionario","76.590.778,46","0,06","76.590.778,46","324.386,00","236,11","Stati Uniti","New York Stock Exchange Inc.","USD"
"PCAR","PACCAR INC","Industriali","Azionario","76.539.655,30","0,06","76.539.655,30","779.585,00","98,18","Stati Uniti","NASDAQ","USD"
"TRP","TC ENERGY CORP","Energia","Azionario","76.501.494,86","0,06","76.501.494,86","1.473.624,00","51,91","Canada","Toronto Stock Exchange","CAD"
"SGO","COMPAGNIE DE SAINT GOBAIN SA","Industriali","Azionario","76.202.648,07","0,06","76.202.648,07","670.124,00","113,71","Francia","Nyse Euronext - Euronext Paris","EUR"
"PSX","PHILLIPS","Energia","Azionario","75.589.622,55","0,06","75.589.622,55","611.715,00","123,57","Stati Uniti","New York Stock Exchange Inc.","USD"
"LHX","L3HARRIS TECHNOLOGIES INC","Industriali","Azionario","75.275.728,50","0,06","75.275.728,50","272.590,00","276,15","Stati Uniti","New York Stock Exchange Inc.","USD"
"WDAY","WORKDAY INC CLASS A","IT","Azionario","75.164.970,90","0,06","75.164.970,90","330.410,00","227,49","Stati Uniti","NASDAQ","USD"
"RKT","RECKITT BENCKISER GROUP PLC","Generi di largo consumo","Azionario","74.583.131,03","0,06","74.583.131,03","989.233,00","75,39","Regno unito","London Stock Exchange","GBP"
"VOLV B","VOLVO CLASS B","Industriali","Azionario","74.425.563,59","0,06","74.425.563,59","2.406.619,00","30,93","Svezia","Nasdaq Omx Nordic","SEK"
"4568","DAIICHI SANKYO LTD","Salute","Azionario","74.120.449,57","0,06","74.120.449,57","2.725.971,00","27,19","Giappone","Tokyo Stock Exchange","JPY"
"CBRE","CBRE GROUP INC CLASS A","Immobili","Azionario","73.998.623,84","0,06","73.998.623,84","460.076,00","160,84","Stati Uniti","New York Stock Exchange Inc.","USD"
"DHL","DEUTSCHE POST AG","Industriali","Azionario","73.527.355,63","0,06","73.527.355,63","1.523.152,00","48,27","Germania","Xetra","EUR"
"DHI","D R HORTON INC","Consumi Discrezionali","Azionario","73.281.410,57","0,06","73.281.410,57","448.561,00","163,37","Stati Uniti","New York Stock Exchange Inc.","USD"
"MBG","MERCEDES-BENZ GROUP N AG","Consumi Discrezionali","Azionario","73.177.780,10","0,06","73.177.780,10","1.160.413,00","63,06","Germania","Xetra","EUR"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Finanziari","Azionario","72.977.317,56","0,06","72.977.317,56","884.252,00","82,53","Stati Uniti","New York Stock Exchange Inc.","USD"
"4502","TAKEDA PHARMACEUTICAL LTD","Salute","Azionario","72.489.463,16","0,06","72.489.463,16","2.335.295,00","31,04","Giappone","Tokyo Stock Exchange","JPY"
"AMP","AMERIPRISE FINANCE INC","Finanziari","Azionario","72.417.755,20","0,06","72.417.755,20","143.288,00","505,40","Stati Uniti","New York Stock Exchange Inc.","USD"
"ROST","ROSS STORES INC","Consumi Discrezionali","Azionario","72.346.805,35","0,06","72.346.805,35","494.341,00","146,35","Stati Uniti","NASDAQ","USD"
"BAS","BASF N","Materiali","Azionario","72.291.747,30","0,06","72.291.747,30","1.287.842,00","56,13","Germania","Xetra","EUR"
"WCN","WASTE CONNECTIONS INC","Industriali","Azionario","71.906.086,40","0,06","71.906.086,40","387.008,00","185,80","Stati Uniti","New York Stock Exchange Inc.","USD"
"SLB","SCHLUMBERGER NV","Energia","Azionario","71.443.208,88","0,06","71.443.208,88","2.141.583,00","33,36","Stati Uniti","New York Stock Exchange Inc.","USD"
"KDP","KEURIG DR PEPPER INC","Generi di largo consumo","Azionario","71.392.603,36","0,06","71.392.603,36","2.029.352,00","35,18","Stati Uniti","NASDAQ","USD"
"FERG","FERGUSON ENTERPRISES INC","Industriali","Azionario","71.314.148,15","0,06","71.314.148,15","309.295,00","230,57","Stati Uniti","New York Stock Exchange Inc.","USD"
"6503","MITSUBISHI ELECTRIC CORP","Industriali","Azionario","70.859.049,06","0,06","70.859.049,06","2.821.311,00","25,12","Giappone","Tokyo Stock Exchange","JPY"
"GMG","GOODMAN GROUP UNITS","Immobili","Azionario","70.800.783,67","0,06","70.800.783,67","3.046.528,00","23,24","Australia","Asx - All Markets","AUD"
"DSV","DSV","Industriali","Azionario","70.769.324,63","0,06","70.769.324,63","305.042,00","232,00","Danimarca","Omx Nordic Exchange Copenhagen A/S","DKK"
"9434","SOFTBANK CORP","Comunicazione","Azionario","70.528.666,67","0,06","70.528.666,67","42.317.200,00","1,67","Giappone","Tokyo Stock Exchange","JPY"
"GLE","SOCIETE GENERALE SA","Finanziari","Azionario","70.428.829,63","0,06","70.428.829,63","1.051.664,00","66,97","Francia","Nyse Euronext - Euronext Paris","EUR"
"7741","HOYA CORP","Salute","Azionario","70.419.452,99","0,06","70.419.452,99","535.523,00","131,50","Giappone","Tokyo Stock Exchange","JPY"
"EXPN","EXPERIAN PLC","Industriali","Azionario","70.375.791,05","0,06","70.375.791,05","1.340.726,00","52,49","Regno unito","London Stock Exchange","GBP"
"VRT","VERTIV HOLDINGS CLASS A","Industriali","Azionario","70.219.570,26","0,06","70.219.570,26","550.569,00","127,54","Stati Uniti","New York Stock Exchange Inc.","USD"
"EW","EDWARDS LIFESCIENCES CORP","Salute","Azionario","70.173.969,66","0,06","70.173.969,66","862.194,00","81,39","Stati Uniti","New York Stock Exchange Inc.","USD"
"MNST","MONSTER BEVERAGE CORP","Generi di largo consumo","Azionario","69.450.152,54","0,06","69.450.152,54","1.078.586,00","64,39","Stati Uniti","NASDAQ","USD"
"GWW","WW GRAINGER INC","Industriali","Azionario","69.329.338,65","0,06","69.329.338,65","69.355,00","999,63","Stati Uniti","New York Stock Exchange Inc.","USD"
"MET","METLIFE INC","Finanziari","Azionario","68.952.568,58","0,06","68.952.568,58","872.486,00","79,03","Stati Uniti","New York Stock Exchange Inc.","USD"
"HLN","HALEON PLC","Salute","Azionario","68.928.210,81","0,06","68.928.210,81","13.857.057,00","4,97","Regno unito","London Stock Exchange","GBP"
"VLO","VALERO ENERGY CORP","Energia","Azionario","68.904.698,90","0,06","68.904.698,90","490.390,00","140,51","Stati Uniti","New York Stock Exchange Inc.","USD"
"F","FORD MOTOR CO","Consumi Discrezionali","Azionario","68.731.077,33","0,06","68.731.077,33","5.981.817,00","11,49","Stati Uniti","New York Stock Exchange Inc.","USD"
"OKE","ONEOK INC","Energia","Azionario","68.698.200,48","0,06","68.698.200,48","932.386,00","73,68","Stati Uniti","New York Stock Exchange Inc.","USD"
"KR","KROGER","Generi di largo consumo","Azionario","68.317.872,15","0,06","68.317.872,15","951.105,00","71,83","Stati Uniti","New York Stock Exchange Inc.","USD"
"EA","ELECTRONIC ARTS INC","Comunicazione","Azionario","68.240.567,67","0,06","68.240.567,67","398.299,00","171,33","Stati Uniti","NASDAQ","USD"
"CCI","CROWN CASTLE INC","Immobili","Azionario","68.079.948,20","0,06","68.079.948,20","661.870,00","102,86","Stati Uniti","New York Stock Exchange Inc.","USD"
"TGT","TARGET CORP","Generi di largo consumo","Azionario","67.884.311,26","0,06","67.884.311,26","687.854,00","98,69","Stati Uniti","New York Stock Exchange Inc.","USD"
"PAYX","PAYCHEX INC","Industriali","Azionario","67.464.432,00","0,06","67.464.432,00","485.775,00","138,88","Stati Uniti","NASDAQ","USD"
"MSCI","MSCI INC","Finanziari","Azionario","67.003.490,00","0,06","67.003.490,00","116.680,00","574,25","Stati Uniti","New York Stock Exchange Inc.","USD"
"VEEV","VEEVA SYSTEMS INC CLASS A","Salute","Azionario","66.973.620,12","0,06","66.973.620,12","235.806,00","284,02","Stati Uniti","New York Stock Exchange Inc.","USD"
"PSA","PUBLIC STORAGE REIT","Immobili","Azionario","66.587.583,34","0,06","66.587.583,34","232.061,00","286,94","Stati Uniti","New York Stock Exchange Inc.","USD"
"EXC","EXELON CORP","Imprese di servizi di pubblica utilità","Azionario","66.398.164,80","0,06","66.398.164,80","1.479.460,00","44,88","Stati Uniti","NASDAQ","USD"
"CPRT","COPART INC","Industriali","Azionario","66.198.229,47","0,06","66.198.229,47","1.390.427,00","47,61","Stati Uniti","NASDAQ","USD"
"XEL","XCEL ENERGY INC","Imprese di servizi di pubblica utilità","Azionario","66.112.460,82","0,06","66.112.460,82","903.546,00","73,17","Stati Uniti","NASDAQ","USD"
"O39","OVERSEA-CHINESE BANKING LTD","Finanziari","Azionario","66.045.778,10","0,06","66.045.778,10","5.022.451,00","13,15","Singapore","Singapore Exchange","SGD"
"KMB","KIMBERLY CLARK CORP","Generi di largo consumo","Azionario","65.593.636,98","0,06","65.593.636,98","492.223,00","133,26","Stati Uniti","NASDAQ","USD"
"ATCO A","ATLAS COPCO CLASS A","Industriali","Azionario","64.566.080,46","0,05","64.566.080,46","4.140.694,00","15,59","Svezia","Nasdaq Omx Nordic","SEK"
"ADYEN","ADYEN NV","Finanziari","Azionario","64.503.254,38","0,05","64.503.254,38","38.058,00","1.694,87","Paesi Bassi","Euronext Amsterdam","EUR"
"6702","FUJITSU LTD","IT","Azionario","64.171.348,37","0,05","64.171.348,37","2.643.090,00","24,28","Giappone","Tokyo Stock Exchange","JPY"
"WPM","WHEATON PRECIOUS METALS CORP","Materiali","Azionario","64.142.765,19","0,05","64.142.765,19","687.166,00","93,34","Canada","Toronto Stock Exchange","CAD"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Imprese di servizi di pubblica utilità","Azionario","64.029.504,68","0,05","64.029.504,68","751.873,00","85,16","Stati Uniti","New York Stock Exchange Inc.","USD"
"NA","NATIONAL BANK OF CANADA","Finanziari","Azionario","63.968.647,13","0,05","63.968.647,13","589.987,00","108,42","Canada","Toronto Stock Exchange","CAD"
"HOLN","HOLCIM LTD AG","Materiali","Azionario","63.918.596,85","0,05","63.918.596,85","765.509,00","83,50","Svizzera","SIX Swiss Exchange","CHF"
"RMD","RESMED INC","Salute","Azionario","63.851.619,64","0,05","63.851.619,64","220.894,00","289,06","Stati Uniti","New York Stock Exchange Inc.","USD"
"ALC","ALCON AG","Salute","Azionario","63.778.376,31","0,05","63.778.376,31","782.005,00","81,56","Svizzera","SIX Swiss Exchange","CHF"
"EOAN","E.ON N","Imprese di servizi di pubblica utilità","Azionario","63.740.482,28","0,05","63.740.482,28","3.499.960,00","18,21","Germania","Xetra","EUR"
"CVNA","CARVANA CLASS A","Consumi Discrezionali","Azionario","63.724.708,95","0,05","63.724.708,95","188.195,00","338,61","Stati Uniti","New York Stock Exchange Inc.","USD"
"AME","AMETEK INC","Industriali","Azionario","63.568.744,84","0,05","63.568.744,84","346.726,00","183,34","Stati Uniti","New York Stock Exchange Inc.","USD"
"BKR","BAKER HUGHES CLASS A","Energia","Azionario","63.397.646,25","0,05","63.397.646,25","1.479.525,00","42,85","Stati Uniti","NASDAQ","USD"
"CBK","COMMERZBANK AG","Finanziari","Azionario","63.198.349,35","0,05","63.198.349,35","1.472.074,00","42,93","Germania","Xetra","EUR"
"CABK","CAIXABANK SA","Finanziari","Azionario","63.166.985,00","0,05","63.166.985,00","6.203.912,00","10,18","Spagna","Bolsa De Madrid","EUR"
"ABX","BARRICK MINING CORP","Materiali","Azionario","63.112.792,06","0,05","63.112.792,06","2.536.867,00","24,88","Canada","Toronto Stock Exchange","CAD"
"ARGX","ARGENX","Salute","Azionario","62.799.115,60","0,05","62.799.115,60","95.605,00","656,86","Belgio","Nyse Euronext - Euronext Brussels","EUR"
"SYY","SYSCO CORP","Generi di largo consumo","Azionario","62.308.441,40","0,05","62.308.441,40","769.430,00","80,98","Stati Uniti","New York Stock Exchange Inc.","USD"
"YUM","YUM BRANDS INC","Consumi Discrezionali","Azionario","61.929.953,94","0,05","61.929.953,94","414.691,00","149,34","Stati Uniti","New York Stock Exchange Inc.","USD"
"HIG","HARTFORD INSURANCE GROUP INC","Finanziari","Azionario","61.776.112,43","0,05","61.776.112,43","461.119,00","133,97","Stati Uniti","New York Stock Exchange Inc.","USD"
"KVUE","KENVUE INC","Generi di largo consumo","Azionario","61.660.121,88","0,05","61.660.121,88","2.850.676,00","21,63","Stati Uniti","New York Stock Exchange Inc.","USD"
"ENGI","ENGIE SA","Imprese di servizi di pubblica utilità","Azionario","61.604.520,55","0,05","61.604.520,55","2.793.995,00","22,05","Francia","Nyse Euronext - Euronext Paris","EUR"
"XYZ","BLOCK INC CLASS A","Finanziari","Azionario","61.592.692,52","0,05","61.592.692,52","830.314,00","74,18","Stati Uniti","New York Stock Exchange Inc.","USD"
"NDAQ","NASDAQ INC","Finanziari","Azionario","61.359.228,00","0,05","61.359.228,00","649.304,00","94,50","Stati Uniti","NASDAQ","USD"
"DELL","DELL TECHNOLOGIES INC CLASS C","IT","Azionario","60.999.348,96","0,05","60.999.348,96","474.777,00","128,48","Stati Uniti","New York Stock Exchange Inc.","USD"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Generi di largo consumo","Azionario","60.897.856,22","0,05","60.897.856,22","1.473.739,00","41,32","Paesi Bassi","Euronext Amsterdam","EUR"
"GLEN","GLENCORE PLC","Materiali","Azionario","60.798.022,31","0,05","60.798.022,31","15.469.943,00","3,93","Regno unito","London Stock Exchange","GBP"
"CAH","CARDINAL HEALTH INC","Salute","Azionario","60.494.784,00","0,05","60.494.784,00","395.520,00","152,95","Stati Uniti","New York Stock Exchange Inc.","USD"
"ENI","ENI","Energia","Azionario","60.433.428,78","0,05","60.433.428,78","3.434.732,00","17,59","Italia","Borsa Italiana","EUR"
"GIVN","GIVAUDAN SA","Materiali","Azionario","60.427.865,90","0,05","60.427.865,90","14.039,00","4.304,29","Svizzera","SIX Swiss Exchange","CHF"
"2914","JAPAN TOBACCO INC","Generi di largo consumo","Azionario","60.342.026,16","0,05","60.342.026,16","1.818.798,00","33,18","Giappone","Tokyo Stock Exchange","JPY"
"LR","LEGRAND SA","Industriali","Azionario","60.313.619,27","0,05","60.313.619,27","396.577,00","152,09","Francia","Nyse Euronext - Euronext Paris","EUR"
"6367","DAIKIN INDUSTRIES LTD","Industriali","Azionario","59.194.163,54","0,05","59.194.163,54","435.949,00","135,78","Giappone","Tokyo Stock Exchange","JPY"
"AMS","AMADEUS IT GROUP SA","Consumi Discrezionali","Azionario","59.137.316,14","0,05","59.137.316,14","704.237,00","83,97","Spagna","Bolsa De Madrid","EUR"
"6701","NEC CORP","IT","Azionario","59.043.012,24","0,05","59.043.012,24","1.881.900,00","31,37","Giappone","Tokyo Stock Exchange","JPY"
"TSCO","TESCO PLC","Generi di largo consumo","Azionario","58.854.973,00","0,05","58.854.973,00","10.225.572,00","5,76","Regno unito","London Stock Exchange","GBP"
"VRSK","VERISK ANALYTICS INC","Industriali","Azionario","58.844.329,30","0,05","58.844.329,30","217.258,00","270,85","Stati Uniti","NASDAQ","USD"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Comunicazione","Azionario","58.827.872,87","0,05","58.827.872,87","257.261,00","228,67","Stati Uniti","NASDAQ","USD"
"MPWR","MONOLITHIC POWER SYSTEMS INC","IT","Azionario","58.451.166,07","0,05","58.451.166,07","70.741,00","826,27","Stati Uniti","NASDAQ","USD"
"ROK","ROCKWELL AUTOMATION INC","Industriali","Azionario","58.420.073,92","0,05","58.420.073,92","172.016,00","339,62","Stati Uniti","New York Stock Exchange Inc.","USD"
"ARES","ARES MANAGEMENT CORP CLASS A","Finanziari","Azionario","58.282.868,90","0,05","58.282.868,90","325.730,00","178,93","Stati Uniti","New York Stock Exchange Inc.","USD"
"DDOG","DATADOG INC CLASS A","IT","Azionario","58.093.080,42","0,05","58.093.080,42","452.227,00","128,46","Stati Uniti","NASDAQ","USD"
"GRMN","GARMIN LTD","Consumi Discrezionali","Azionario","57.926.223,35","0,05","57.926.223,35","251.689,00","230,15","Stati Uniti","New York Stock Exchange Inc.","USD"
"ATD","ALIMENTATION COUCHE TARD INC","Generi di largo consumo","Azionario","57.313.801,28","0,05","57.313.801,28","1.131.056,00","50,67","Canada","Toronto Stock Exchange","CAD"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Finanziari","Azionario","56.963.225,60","0,05","56.963.225,60","816.560,00","69,76","Stati Uniti","New York Stock Exchange Inc.","USD"
"PRU","PRUDENTIAL PLC","Finanziari","Azionario","56.711.070,69","0,05","56.711.070,69","4.243.184,00","13,37","Regno unito","London Stock Exchange","GBP"
"MLM","MARTIN MARIETTA MATERIALS INC","Materiali","Azionario","56.484.628,20","0,05","56.484.628,20","94.047,00","600,60","Stati Uniti","New York Stock Exchange Inc.","USD"
"DOL","DOLLARAMA INC","Consumi Discrezionali","Azionario","56.109.321,33","0,05","56.109.321,33","398.589,00","140,77","Canada","Toronto Stock Exchange","CAD"
"STAN","STANDARD CHARTERED PLC","Finanziari","Azionario","55.936.086,97","0,05","55.936.086,97","3.056.104,00","18,30","Regno unito","London Stock Exchange","GBP"
"ETR","ENTERGY CORP","Imprese di servizi di pubblica utilità","Azionario","55.619.771,61","0,05","55.619.771,61","619.167,00","89,83","Stati Uniti","New York Stock Exchange Inc.","USD"
"SIKA","SIKA AG","Materiali","Azionario","55.539.569,32","0,05","55.539.569,32","233.991,00","237,36","Svizzera","SIX Swiss Exchange","CHF"
"PRU","PRUDENTIAL FINANCIAL INC","Finanziari","Azionario","55.525.586,13","0,05","55.525.586,13","518.301,00","107,13","Stati Uniti","New York Stock Exchange Inc.","USD"
"IMB","IMPERIAL BRANDS PLC","Generi di largo consumo","Azionario","55.062.925,08","0,05","55.062.925,08","1.301.149,00","42,32","Regno unito","London Stock Exchange","GBP"
"NUE","NUCOR CORP","Materiali","Azionario","54.683.016,62","0,05","54.683.016,62","381.146,00","143,47","Stati Uniti","New York Stock Exchange Inc.","USD"
"ED","CONSOLIDATED EDISON INC","Imprese di servizi di pubblica utilità","Azionario","54.632.196,48","0,05","54.632.196,48","536.873,00","101,76","Stati Uniti","New York Stock Exchange Inc.","USD"
"VMC","VULCAN MATERIALS","Materiali","Azionario","54.450.456,00","0,05","54.450.456,00","190.200,00","286,28","Stati Uniti","New York Stock Exchange Inc.","USD"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","IT","Azionario","54.334.209,60","0,05","54.334.209,60","343.019,00","158,40","Stati Uniti","NASDAQ","USD"
"FNV","FRANCO NEVADA CORP","Materiali","Azionario","54.280.628,48","0,05","54.280.628,48","304.108,00","178,49","Canada","Toronto Stock Exchange","CAD"
"IFC","INTACT FINANCIAL CORP","Finanziari","Azionario","53.717.772,83","0,05","53.717.772,83","266.131,00","201,85","Canada","Toronto Stock Exchange","CAD"
"OTIS","OTIS WORLDWIDE CORP","Industriali","Azionario","53.526.987,04","0,05","53.526.987,04","600.617,00","89,12","Stati Uniti","New York Stock Exchange Inc.","USD"
"CSGP","COSTAR GROUP INC","Immobili","Azionario","53.338.300,00","0,05","53.338.300,00","604.400,00","88,25","Stati Uniti","NASDAQ","USD"
"A","AGILENT TECHNOLOGIES INC","Salute","Azionario","53.186.069,19","0,05","53.186.069,19","446.529,00","119,11","Stati Uniti","New York Stock Exchange Inc.","USD"
"MCHP","MICROCHIP TECHNOLOGY INC","IT","Azionario","52.964.313,04","0,04","52.964.313,04","793.354,00","66,76","Stati Uniti","NASDAQ","USD"
"VICI","VICI PPTYS INC","Immobili","Azionario","52.503.900,75","0,04","52.503.900,75","1.592.475,00","32,97","Stati Uniti","New York Stock Exchange Inc.","USD"
"G","ASSICURAZIONI GENERALI","Finanziari","Azionario","52.474.356,16","0,04","52.474.356,16","1.306.772,00","40,16","Italia","Borsa Italiana","EUR"
"IQV","IQVIA HOLDINGS INC","Salute","Azionario","52.399.074,20","0,04","52.399.074,20","272.855,00","192,04","Stati Uniti","New York Stock Exchange Inc.","USD"
"STT","STATE STREET CORP","Finanziari","Azionario","52.245.692,82","0,04","52.245.692,82","466.938,00","111,89","Stati Uniti","New York Stock Exchange Inc.","USD"
"U11","UNITED OVERSEAS BANK LTD","Finanziari","Azionario","51.972.738,24","0,04","51.972.738,24","1.907.251,00","27,25","Singapore","Singapore Exchange","SGD"
"HUM","HUMANA INC","Salute","Azionario","51.678.580,00","0,04","51.678.580,00","178.202,00","290,00","Stati Uniti","New York Stock Exchange Inc.","USD"
"FFH","FAIRFAX FINANCIAL HOLDINGS SUB VOT","Finanziari","Azionario","51.671.346,38","0,04","51.671.346,38","30.249,00","1.708,20","Canada","Toronto Stock Exchange","CAD"
"8725","MS&AD INSURANCE GROUP HOLDINGS INC","Finanziari","Azionario","51.594.380,10","0,04","51.594.380,10","2.110.875,00","24,44","Giappone","Tokyo Stock Exchange","JPY"
"ASSA B","ASSA ABLOY B","Industriali","Azionario","51.272.420,91","0,04","51.272.420,91","1.461.729,00","35,08","Svezia","Nasdaq Omx Nordic","SEK"
"PCG","PG&E CORP","Imprese di servizi di pubblica utilità","Azionario","50.979.778,56","0,04","50.979.778,56","3.318.996,00","15,36","Stati Uniti","New York Stock Exchange Inc.","USD"
"ADS","ADIDAS N AG","Consumi Discrezionali","Azionario","50.933.612,56","0,04","50.933.612,56","256.587,00","198,50","Germania","Xetra","EUR"
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Industriali","Azionario","50.902.178,95","0,04","50.902.178,95","263.947,00","192,85","Stati Uniti","New York Stock Exchange Inc.","USD"
"9432","NTT INC","Comunicazione","Azionario","50.797.551,02","0,04","50.797.551,02","45.256.000,00","1,12","Giappone","Tokyo Stock Exchange","JPY"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","IT","Azionario","50.786.917,16","0,04","50.786.917,16","720.484,00","70,49","Stati Uniti","NASDAQ","USD"
"TRGP","TARGA RESOURCES CORP","Energia","Azionario","50.639.540,40","0,04","50.639.540,40","310.920,00","162,87","Stati Uniti","New York Stock Exchange Inc.","USD"
"WTW","WILLIS TOWERS WATSON PLC","Finanziari","Azionario","50.519.481,32","0,04","50.519.481,32","150.481,00","335,72","Stati Uniti","NASDAQ","USD"
"WEC","WEC ENERGY GROUP INC","Imprese di servizi di pubblica utilità","Azionario","50.462.468,31","0,04","50.462.468,31","463.341,00","108,91","Stati Uniti","New York Stock Exchange Inc.","USD"
"ACGL","ARCH CAPITAL GROUP LTD","Finanziari","Azionario","50.368.670,88","0,04","50.368.670,88","542.532,00","92,84","Stati Uniti","NASDAQ","USD"
"CCL","CARNIVAL CORP","Consumi Discrezionali","Azionario","49.943.484,36","0,04","49.943.484,36","1.706.886,00","29,26","Stati Uniti","New York Stock Exchange Inc.","USD"
"DD","DUPONT DE NEMOURS INC","Materiali","Azionario","49.682.703,28","0,04","49.682.703,28","667.061,00","74,48","Stati Uniti","New York Stock Exchange Inc.","USD"
"MTB","M&T BANK CORP","Finanziari","Azionario","49.302.626,88","0,04","49.302.626,88","255.216,00","193,18","Stati Uniti","New York Stock Exchange Inc.","USD"
"XYL","XYLEM INC","Industriali","Azionario","49.280.105,07","0,04","49.280.105,07","347.361,00","141,87","Stati Uniti","New York Stock Exchange Inc.","USD"
"OXY","OCCIDENTAL PETROLEUM CORP","Energia","Azionario","49.102.247,58","0,04","49.102.247,58","1.109.154,00","44,27","Stati Uniti","New York Stock Exchange Inc.","USD"
"GEHC","GE HEALTHCARE TECHNOLOGIES INC","Salute","Azionario","48.861.311,50","0,04","48.861.311,50","661.450,00","73,87","Stati Uniti","NASDAQ","USD"
"BMW","BMW AG","Consumi Discrezionali","Azionario","48.540.342,33","0,04","48.540.342,33","458.360,00","105,90","Germania","Xetra","EUR"
"FICO","FAIR ISAAC CORP","IT","Azionario","48.514.306,34","0,04","48.514.306,34","36.094,00","1.344,11","Stati Uniti","New York Stock Exchange Inc.","USD"
"WKL","WOLTERS KLUWER NV","Industriali","Azionario","48.369.477,63","0,04","48.369.477,63","351.165,00","137,74","Paesi Bassi","Euronext Amsterdam","EUR"
"SLF","SUN LIFE FINANCIAL INC","Finanziari","Azionario","48.340.804,14","0,04","48.340.804,14","824.590,00","58,62","Canada","Toronto Stock Exchange","CAD"
"SLHN","SWISS LIFE HOLDING AG","Finanziari","Azionario","48.301.614,48","0,04","48.301.614,48","42.799,00","1.128,57","Svizzera","SIX Swiss Exchange","CHF"
"PGHN","PARTNERS GROUP HOLDING AG","Finanziari","Azionario","48.219.978,85","0,04","48.219.978,85","34.795,00","1.385,83","Svizzera","SIX Swiss Exchange","CHF"
"8750","DAI-ICHI LIFE HOLDINGS INC","Finanziari","Azionario","48.145.928,57","0,04","48.145.928,57","5.684.700,00","8,47","Giappone","Tokyo Stock Exchange","JPY"
"HEI","HEIDELBERG MATERIALS AG","Materiali","Azionario","47.967.659,64","0,04","47.967.659,64","201.806,00","237,69","Germania","Xetra","EUR"
"UMG","UNIVERSAL MUSIC GROUP NV","Comunicazione","Azionario","47.907.472,87","0,04","47.907.472,87","1.665.712,00","28,76","Paesi Bassi","Euronext Amsterdam","EUR"
"ADM","ARCHER DANIELS MIDLAND","Generi di largo consumo","Azionario","47.711.795,74","0,04","47.711.795,74","785.638,00","60,73","Stati Uniti","New York Stock Exchange Inc.","USD"
