isin,wkn,ticker,valor,name,inception_date,age_in_days,age_in_years,strategy,domicile_country,currency,hedged,securities_lending,dividends,ter,replication,size,is_sustainable,number_of_holdings,yesterday,last_week,last_month,last_three_months,last_six_months,last_year,last_three_years,last_five_years,2024,2023,2022,2021,last_dividends,last_year_dividends,last_year_volatility,last_three_years_volatility,last_five_years_volatility,last_year_return_per_risk,last_three_years_return_per_risk,last_five_years_return_per_risk,max_drawdown,last_year_max_drawdown,last_three_years_max_drawdown,last_five_years_max_drawdown
IE00B6R52259,A1JMDF,IUSQ,14137311,iShares MSCI ACWI UCITS ETF USD (Acc),2011-10-21,4869,13.33972602739726,Long-only,Ireland,USD,False,True,Accumulating,0.2,Optimized sampling,17188,False,2329,4.74,0.12,2.1,6.65,14.44,23.36,43.03,71.1,24.82,18.11,-13.12,28.6,,,11.93,14.17,17.43,1.95,0.89,0.65,-33.59,-8.78,-14.22,-33.59
IE00B53SZB19,A0YEDL,SXRV,10737617,iShares Nasdaq 100 UCITS ETF (Acc),2010-01-26,5502,15.073972602739726,Long-only,Ireland,USD,False,True,Accumulating,0.3,Full replication,17010,False,101,4.62,0.36,1.62,9.86,19.38,29.23,71.74,141.72,33.29,49.07,-28.5,37.55,,,19.36,23.65,26.3,1.5,0.83,0.73,-31.43,-14.57,-26.87,-31.43
IE00B3RBWM25,A1JX52,VGWL,18575459,Vanguard FTSE All-World UCITS ETF (USD) Distributing,2012-05-22,4655,12.753424657534246,Long-only,Ireland,USD,False,True,Distributing,0.22,Optimized sampling,16420,False,3618,4.6,0.03,2.03,6.55,14.3,23.03,42.28,70.9,24.65,17.78,-13.01,28.19,1.41,1.71,11.93,14.03,17.18,1.93,0.89,0.66,-33.47,-8.71,-14.04,-33.47
DE000A0S9GB0,A0S9GB,4GLD,,Xetra-Gold,2007-11-27,6293,17.24109589041096,Long-only,Germany,EUR,False,False,Accumulating,0.0,Physically backed,15399,False,,10.23,-1.79,4.81,13.74,22.33,48.31,65.85,89.33,34.66,9.31,7.11,4.0,,,14.33,13.33,14.72,3.36,1.38,0.92,-36.79,-5.44,-12.7,-18.21
IE00BJ0KDQ92,A1XB5U,XDWD,24869934,Xtrackers MSCI World UCITS ETF 1C,2014-07-22,3864,10.586301369863014,Long-only,Ireland,USD,False,True,Accumulating,0.19,Optimized sampling,14572,False,1454,4.71,0.01,1.84,6.72,15.11,24.11,48.06,80.18,26.23,19.61,-13.03,32.04,,,12.52,15.14,18.4,1.92,0.92,0.68,-33.83,-8.74,-15.05,-33.83
LU0290358497,DBX0AN,XEON,3220328,Xtrackers II EUR Overnight Rate Swap UCITS ETF 1C,2007-05-25,6479,17.75068493150685,Long-only,Luxembourg,EUR,False,False,Accumulating,0.1,Swap based Unfunded,14190,False,,0.38,0.06,0.25,0.78,1.66,3.64,7.65,6.4,3.79,3.27,-0.03,-0.58,,,0.14,0.17,0.17,26.5,14.81,7.49,-3.7,0.0,-0.28,-1.43
IE0005042456,552752,IUSZ,1083749,iShares Core FTSE 100 UCITS ETF (Dist),2000-04-27,9063,24.83013698630137,Long-only,Ireland,GBP,False,True,Distributing,0.07,Full replication,14150,False,101,7.43,0.49,5.01,9.81,9.34,21.52,30.56,41.17,14.82,9.96,-0.93,26.6,3.4,3.98,10.32,13.38,18.59,2.08,0.69,0.38,-58.58,-6.01,-15.16,-39.58
IE00BGSF1X88,A2PBNP,IBC1,45827737,iShares USD Treasury Bond 0-1yr UCITS ETF (Acc),2019-02-20,2190,6.0,Long-only,Ireland,USD,False,True,Accumulating,0.07,Sampling,13801,False,77,-0.41,-1.51,-1.48,2.06,7.32,7.93,21.74,16.83,11.92,1.39,7.22,8.33,,,6.75,8.21,7.64,1.17,0.82,0.41,-13.14,-3.3,-12.2,-13.14
IE00B6YX5C33,A1JULM,SPY5,18118572,SPDR S&P 500 UCITS ETF (Dist),2012-03-19,4719,12.92876712328767,Long-only,Ireland,USD,False,True,Distributing,0.03,Full replication,13766,False,503,3.4,-0.5,0.48,5.68,16.34,27.15,57.52,99.61,32.65,21.49,-13.31,39.03,1.0,1.25,14.38,17.98,21.81,1.88,0.91,0.68,-33.67,-9.07,-16.1,-33.67
LU1135865084,LYX0Q9,LYP7,26006779,Amundi S&P 500 II UCITS ETF Acc,2014-12-09,3724,10.202739726027398,Long-only,Luxembourg,EUR,False,False,Accumulating,0.05,Swap based Unfunded,13294,False,,3.3,-0.33,0.74,5.47,16.64,27.65,58.74,101.47,33.23,21.88,-12.85,38.32,,,14.32,17.14,21.15,1.92,0.97,0.71,-33.6,-9.29,-15.96,-33.6
IE00BLNMYC90,A1106A,XDEW,24514626,Xtrackers S&P 500 Equal Weight UCITS ETF 1C,2014-06-10,3906,10.7013698630137,Long-only,Ireland,USD,False,True,Accumulating,0.2,Full replication,11404,False,503,2.67,-1.14,-0.99,1.59,12.13,18.03,33.2,69.58,19.62,9.4,-6.5,39.68,,,13.18,17.36,22.52,1.36,0.58,0.49,-38.93,-6.67,-15.12,-38.93
IE00B4X9L533,A1C9KK,H4ZJ,12015245,HSBC MSCI World UCITS ETF USD,2010-12-08,5186,14.208219178082192,Long-only,Ireland,USD,False,True,Distributing,0.15,Optimized sampling,11171,False,1354,4.38,-0.35,1.49,6.37,14.72,23.63,47.74,80.25,26.22,19.81,-13.03,32.31,1.33,1.62,13.53,15.49,18.57,1.74,0.9,0.67,-33.78,-8.79,-15.1,-33.78
IE00BF4G7076,A2DWM7,JREU,38011631,JPMorgan US Research Enhanced Index Equity (ESG) UCITS ETF USD (acc),2018-10-10,2323,6.364383561643836,"Long-only, Active",Ireland,USD,False,False,Accumulating,0.2,Full replication,11156,True,248,2.75,-0.55,-0.02,4.51,14.75,25.75,57.78,104.84,32.38,23.18,-13.72,40.75,,,14.26,18.06,22.03,1.8,0.91,0.7,-34.38,-9.2,-16.39,-34.38
IE00B3WJKG14,A142N1,QDVE,30453015,iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),2015-11-20,3378,9.254794520547945,Long-only,Ireland,USD,False,True,Accumulating,0.15,Full replication,10767,False,70,1.14,0.8,0.43,6.48,14.72,33.28,93.53,178.17,45.92,52.08,-23.98,44.56,,,23.67,25.67,28.55,1.4,0.96,0.79,-31.62,-16.95,-23.42,-31.62
IE00BFNM3G45,A2N6TB,SGAS,43695283,iShares MSCI USA ESG Screened UCITS ETF USD (Acc),2018-10-19,2314,6.33972602739726,Long-only,Ireland,USD,False,False,Accumulating,0.07,Full replication,10579,True,535,3.71,-0.5,0.67,6.37,17.94,28.53,61.04,106.7,34.26,25.22,-16.06,37.92,,,15.18,18.78,22.43,1.87,0.92,0.7,-33.62,-9.88,-17.78,-33.62
IE00BHZPJ890,A2PDNU,OM3L,46193417,iShares MSCI USA ESG Enhanced UCITS ETF USD (Dist),2019-03-12,2170,5.945205479452055,Long-only,Ireland,USD,False,False,Distributing,0.07,Full replication,10525,True,532,2.49,-0.68,-0.19,4.78,15.56,25.3,51.06,91.49,31.45,21.17,-16.46,37.47,0.97,1.2,23.7,21.56,23.73,1.06,0.68,0.58,-33.57,-10.96,-17.07,-33.57
IE00BFY0GT14,A2N6CW,SPPW,46170158,SPDR MSCI World UCITS ETF,2019-02-28,2182,5.978082191780822,Long-only,Ireland,USD,False,True,Accumulating,0.12,Optimized sampling,10353,False,1381,4.71,0.0,1.83,6.74,15.15,24.33,48.65,80.99,26.49,19.6,-12.74,32.09,,,12.54,15.17,18.42,1.93,0.93,0.68,-33.88,-8.72,-14.94,-33.88
IE00B3F81R35,A0RGEP,EUN5,10012767,iShares Core EUR Corporate Bond UCITS ETF (Dist),2009-03-06,5828,15.967123287671233,Long-only,Ireland,EUR,False,True,Distributing,0.2,Sampling,10101,False,3773,0.73,-0.17,1.03,1.1,2.96,6.29,1.4,-1.79,4.58,8.02,-14.14,-1.01,3.45,3.54,2.9,4.7,4.3,2.16,0.1,-0.08,-17.56,-1.78,-13.49,-17.56
IE00B4K48X80,A0RPWG,EUNK,10608355,iShares Core MSCI Europe UCITS ETF EUR (Acc),2009-09-25,5625,15.41095890410959,Long-only,Ireland,EUR,False,True,Accumulating,0.12,Optimized sampling,9455,False,415,10.07,2.06,6.53,11.2,9.53,16.49,31.38,47.96,8.84,16.15,-9.42,25.7,,,10.3,13.44,17.26,1.6,0.71,0.47,-35.3,-7.06,-14.93,-35.3
LU0908500753,LYX0Q0,LYP6,21182580,Amundi Stoxx Europe 600 UCITS ETF Acc,2013-04-03,4339,11.887671232876713,Long-only,Luxembourg,EUR,False,True,Accumulating,0.07,Full replication,9268,False,608,9.2,1.45,5.81,10.35,8.97,15.93,29.8,46.35,9.01,16.04,-10.41,25.27,,,10.85,14.76,17.82,1.46,0.61,0.44,-35.35,-7.03,-15.76,-35.35
IE00BJ0KDR00,A1XB5V,XD9U,24268896,Xtrackers MSCI USA UCITS ETF 1C,2014-05-09,3938,10.789041095890411,Long-only,Ireland,USD,False,True,Accumulating,0.07,Full replication,8887,False,589,3.65,-0.52,0.55,5.95,17.07,27.55,57.27,99.77,32.67,22.33,-14.74,37.19,,,14.57,18.24,22.02,1.89,0.89,0.67,-34.06,-9.1,-16.83,-34.06
IE00BFMNPS42,A2JHSH,XZMU,41579357,Xtrackers MSCI USA ESG UCITS ETF 1C,2018-05-08,2478,6.789041095890411,Long-only,Ireland,USD,False,False,Accumulating,0.15,Full replication,8776,True,268,1.09,-1.0,-1.92,2.37,13.38,23.34,55.34,101.56,32.64,25.79,-16.9,43.49,,,16.23,19.24,22.81,1.43,0.82,0.66,-34.04,-10.47,-16.96,-34.04
IE0032077012,801498,EQQQ,1527010,Invesco EQQQ Nasdaq-100 UCITS ETF,2002-12-02,8114,22.23013698630137,Long-only,Ireland,USD,False,True,Distributing,0.3,Full replication,8624,False,101,4.52,0.26,1.52,9.77,19.29,29.13,71.74,142.82,33.34,49.11,-28.47,37.57,0.36,0.46,19.38,23.71,26.28,1.5,0.83,0.74,-46.75,-14.57,-26.85,-31.39
IE00BMTX1Y45,A2QAJB,I500,56309054,iShares S&P 500 Swap UCITS ETF USD (Acc),2020-09-24,1608,4.405479452054794,Long-only,Ireland,USD,False,False,Accumulating,0.05,Swap based Unfunded,8602,False,,3.44,-0.52,0.52,5.71,16.44,27.38,58.65,,33.0,21.53,-12.99,39.37,,,14.36,17.95,,1.9,0.93,,-16.92,-9.17,-15.85,
IE00B1YZSC51,A0MZWQ,IQQY,3246398,iShares Core MSCI Europe UCITS ETF EUR (Dist),2007-07-06,6437,17.635616438356163,Long-only,Ireland,EUR,False,True,Distributing,0.12,Optimized sampling,8550,False,415,9.68,1.71,6.18,10.8,9.16,16.09,30.97,47.55,8.87,16.13,-9.71,26.11,2.36,2.67,10.3,13.43,17.27,1.56,0.7,0.47,-58.41,-7.06,-14.89,-35.27
IE00BHZPJ908,A2PCB3,EDMU,46193952,iShares MSCI USA ESG Enhanced UCITS ETF USD (Acc),2019-04-16,2135,5.8493150684931505,Long-only,Ireland,USD,False,False,Accumulating,0.07,Full replication,8336,True,532,2.52,-0.66,-0.19,4.87,15.54,25.27,51.07,91.3,31.38,21.36,-16.65,37.41,,,14.6,18.45,22.11,1.73,0.8,0.63,-33.63,-9.05,-17.17,-33.63
FR0010315770,LYX0AG,LYYA,2538768,Amundi MSCI World II UCITS ETF Dist,2006-04-26,6873,18.83013698630137,Long-only,France,EUR,False,False,Distributing,0.3,Swap based Unfunded,7979,False,,4.31,-0.09,1.81,6.18,15.04,24.1,48.07,80.19,26.66,19.73,-12.7,31.16,1.55,1.9,12.12,13.92,18.12,1.98,1.0,0.69,-53.26,-9.05,-15.1,-33.75
IE00BYX2JD69,A2DVB9,2B7K,37665525,iShares MSCI World SRI UCITS ETF EUR (Acc),2017-10-12,2686,7.358904109589041,Long-only,Ireland,EUR,False,False,Accumulating,0.2,Full replication,7864,True,400,2.27,-0.25,-0.57,2.53,10.97,15.4,33.7,68.61,17.87,20.6,-16.42,35.0,,,15.75,16.35,18.51,0.97,0.62,0.59,-32.09,-9.23,-16.39,-32.09
DE0005933956,593395,EXW1,1174969,iShares EURO STOXX 50 UCITS ETF (DE),2000-12-27,8819,24.161643835616438,Long-only,Germany,EUR,False,False,Distributing,0.09,Full replication,7832,False,50,13.39,3.23,7.52,15.74,14.9,19.42,46.97,64.43,11.29,22.79,-9.2,23.49,2.52,2.92,13.44,17.0,20.57,1.44,0.81,0.51,-59.17,-9.73,-18.23,-38.23
IE000XZSV718,A3EUC1,SPYL,129874161,SPDR S&P 500 UCITS ETF (Acc),2023-10-31,476,1.3041095890410959,Long-only,Ireland,USD,False,True,Accumulating,0.03,Full replication,7761,False,503,3.34,-0.56,0.42,5.64,16.34,27.14,,,32.76,,,,,,14.43,,,1.88,,,-9.13,-9.13,,
DE0005933931,593393,EXS1,1174954,iShares Core DAX® UCITS ETF (DE) EUR (Acc),2000-12-27,8819,24.161643835616438,Long-only,Germany,EUR,False,False,Accumulating,0.16,Full replication,7578,False,40,14.54,4.0,9.01,18.58,24.28,32.43,46.61,60.73,18.07,19.54,-12.88,15.24,,,12.23,16.42,20.41,2.64,0.83,0.49,-67.49,-8.24,-21.92,-38.78
IE00B0M62Q58,A0HGV0,IQQW,2308773,iShares MSCI World UCITS ETF (Dist),2005-10-28,7053,19.323287671232876,Long-only,Ireland,USD,False,True,Distributing,0.5,Optimized sampling,7526,False,1394,4.51,-0.15,1.66,6.5,14.8,23.63,46.69,77.17,25.93,19.24,-13.24,31.63,1.0,1.23,12.54,15.16,18.42,1.88,0.9,0.66,-52.75,-8.77,-15.06,-33.83
IE00B5KQNG97,A1C19C,H4ZF,11307112,HSBC S&P 500 UCITS ETF USD,2010-05-14,5394,14.778082191780822,Long-only,Ireland,USD,False,True,Distributing,0.09,Full replication,7423,False,502,3.14,-0.76,0.22,5.41,16.07,26.78,57.17,99.13,32.62,21.71,-13.47,39.08,0.98,1.22,14.48,18.09,21.9,1.84,0.9,0.67,-33.73,-9.13,-15.93,-33.73
IE00BZ02LR44,A2AQST,XZW0,41359963,Xtrackers MSCI World ESG UCITS ETF 1C,2018-04-24,2492,6.8273972602739725,Long-only,Ireland,USD,False,False,Accumulating,0.2,Full replication,7153,True,654,2.41,-0.42,-0.12,3.65,12.38,21.49,46.74,80.08,27.36,22.34,-16.05,36.04,,,14.0,16.04,18.97,1.53,0.85,0.66,-33.63,-9.92,-15.44,-33.63
IE00B3ZW0K18,A1C5E9,IBCF,11834662,iShares S&P 500 EUR Hedged UCITS ETF (Acc),2010-09-30,5255,14.397260273972602,Long-only,Ireland,EUR,True,True,Accumulating,0.2,Full replication,6915,False,504,4.09,1.02,2.12,4.25,9.92,21.55,34.27,72.07,22.52,22.38,-20.95,27.02,,,12.55,17.0,20.98,1.71,0.61,0.55,-34.67,-8.45,-23.91,-34.67
IE00BLF7VX27,A2QB0R,SPPU,56805586,SPDR Bloomberg SASB U.S. Corporate ESG UCITS ETF,2020-10-23,1579,4.326027397260274,Long-only,Ireland,USD,False,False,Accumulating,0.15,Sampling,6844,True,2521,0.52,-1.02,-0.29,2.1,4.97,8.13,8.18,,8.18,4.59,-10.86,6.88,,,7.56,10.59,,1.07,0.25,,-13.33,-2.54,-11.24,
DE0002635307,263530,EXSA,1814262,iShares STOXX Europe 600 UCITS ETF (DE),2004-02-13,7676,21.03013698630137,Long-only,Germany,EUR,False,False,Distributing,0.2,Full replication,6616,False,600,10.08,2.0,6.38,10.91,9.39,16.42,30.38,46.65,8.67,16.03,-10.61,24.91,2.54,2.87,10.35,13.56,17.25,1.58,0.68,0.46,-58.07,-7.0,-15.73,-35.35
LU1781541179,LYX0YD,LCUW,40587053,Amundi MSCI World V UCITS ETF Acc,2018-02-28,2547,6.978082191780822,Long-only,Luxembourg,USD,False,True,Accumulating,0.12,Full replication,6560,False,1396,4.29,-0.46,1.39,6.27,14.63,23.48,47.01,78.66,26.15,19.5,-13.19,31.96,,,12.8,16.32,19.0,1.83,0.84,0.65,-33.91,-8.82,-15.2,-33.91
FR0013416716,A2UJK0,GLDA,,Amundi Physical Gold ETC (C),2019-05-21,2100,5.7534246575342465,Long-only,Ireland,USD,False,False,Accumulating,0.12,Physically backed,6147,False,,10.02,-1.75,4.87,13.76,22.23,48.86,65.45,88.17,34.49,9.72,5.61,4.88,,,14.86,14.54,15.24,3.28,1.26,0.88,-18.3,-5.96,-11.76,-18.3
IE00BF4G6Y48,A2DWM6,JREG,38011617,JPMorgan Global Research Enhanced Index Equity (ESG) UCITS ETF USD (acc),2018-10-10,2323,6.364383561643836,"Long-only, Active",Ireland,USD,False,False,Accumulating,0.25,Full replication,6097,True,681,4.13,-0.1,1.39,5.67,13.39,22.67,49.53,86.14,25.86,20.9,-12.4,34.36,,,12.39,15.14,18.45,1.82,0.95,0.72,-33.84,-8.73,-14.92,-33.84
IE00B60SX394,A0RGCS,SC0J,10128224,Invesco MSCI World UCITS ETF Acc,2009-04-02,5801,15.893150684931507,Long-only,Ireland,USD,False,False,Accumulating,0.19,Swap based Unfunded,6093,False,,4.66,-0.05,1.78,6.69,15.11,24.11,48.28,80.65,26.32,19.66,-12.96,32.12,,,12.48,15.17,18.47,1.93,0.92,0.68,-33.86,-8.75,-15.03,-33.86
DE000A2T0VU5,A2T0VU,XGDU,,Xtrackers IE Physical Gold ETC Securities,2020-04-22,1763,4.83013698630137,Long-only,Ireland,USD,False,False,Accumulating,0.11,Physically backed,6077,False,,10.19,-1.71,4.9,13.78,22.27,48.9,65.5,,34.28,9.43,6.99,3.8,,,15.04,14.55,,3.24,1.26,,-18.95,-5.96,-11.75,
LU2009147757,DBX00S,XSXD,53060501,Xtrackers S&P 500 Swap UCITS ETF 1D,2022-06-08,986,2.7013698630136984,Long-only,Luxembourg,USD,False,False,Distributing,0.07,Swap based Unfunded,5981,False,,3.39,-0.47,0.47,5.69,16.48,27.37,,,32.84,21.79,,,1.06,1.33,14.45,,,1.89,,,-15.78,-9.12,,
LU0274211480,DBX1DA,DBXD,2825575,Xtrackers DAX UCITS ETF 1C,2007-01-10,6614,18.12054794520548,Long-only,Luxembourg,EUR,False,True,Accumulating,0.09,Full replication,5766,False,40,14.47,4.02,9.03,18.61,24.34,32.55,46.97,61.42,18.26,19.67,-12.84,15.34,,,12.23,16.43,20.42,2.65,0.83,0.49,-54.86,-8.23,-21.9,-38.79
IE00BTJRMP35,A12GVR,XMME,35987944,Xtrackers MSCI Emerging Markets UCITS ETF 1C,2017-06-21,2799,7.668493150684932,Long-only,Ireland,USD,False,True,Accumulating,0.18,Optimized sampling,5663,False,1271,4.7,0.78,4.2,5.89,9.44,17.49,6.68,18.5,14.36,5.75,-15.28,5.39,,,13.31,14.48,16.65,1.31,0.15,0.21,-31.87,-10.42,-20.43,-31.15
IE00B3VWN393,A0X8SH,SXRL,10200795,iShares USD Treasury Bond 3-7yr UCITS ETF (Acc),2009-06-03,5739,15.723287671232876,Long-only,Ireland,USD,False,True,Accumulating,0.07,Sampling,5552,False,91,-0.12,-1.44,-1.06,1.99,4.57,6.96,8.11,3.4,8.42,0.87,-3.85,5.68,,,6.95,9.67,8.75,1.0,0.27,0.08,-17.3,-3.11,-12.9,-13.62
IE00B66F4759,A1C3NE,EUNW,11729717,iShares EUR High Yield Corporate Bond UCITS ETF EUR (Dist),2010-09-03,5282,14.471232876712328,Long-only,Ireland,EUR,False,True,Distributing,0.5,Sampling,5513,False,615,1.69,0.74,1.69,2.58,4.94,7.88,12.26,12.44,6.67,11.33,-9.72,2.21,6.01,6.1,2.49,4.28,5.89,3.15,0.92,0.4,-20.97,-1.08,-11.71,-20.97
IE00BYML9W36,A1405W,D500,29885363,Invesco S&P 500 UCITS ETF Dist,2015-10-26,3403,9.323287671232876,Long-only,Ireland,USD,False,False,Distributing,0.05,Swap based Unfunded,5431,False,,3.33,-0.57,0.43,5.66,16.35,27.27,58.44,101.85,32.87,21.75,-13.07,39.39,1.23,1.54,14.36,17.99,21.8,1.89,0.92,0.69,-33.66,-9.08,-16.07,-33.66
IE00B4L5YX21,A0RPWL,EUNN,10608419,iShares Core MSCI Japan IMI UCITS ETF,2009-09-25,5625,15.41095890410959,Long-only,Ireland,USD,False,True,Accumulating,0.12,Optimized sampling,5313,False,1018,2.34,-0.04,4.68,5.7,7.0,9.55,24.55,34.62,14.31,14.73,-10.97,9.79,,,23.56,19.55,19.77,0.4,0.39,0.31,-27.36,-16.75,-16.75,-26.06
LU2572257124,ETF018,AHYQ,124831396,Amundi MSCI World III UCITS ETF Dist,2008-11-27,5927,16.23835616438356,Long-only,Luxembourg,USD,False,False,Distributing,0.2,Swap based Unfunded,5236,False,,4.26,-0.43,1.4,6.28,14.66,23.67,47.65,80.0,26.38,19.67,-13.11,32.58,1.66,2.02,13.02,15.34,19.01,1.81,0.9,0.66,-37.75,-8.76,-15.08,-33.87
JE00B1VS3770,A0N6XK,VZLD,,WisdomTree Physical Gold,2007-04-24,6510,17.835616438356166,Long-only,Jersey,USD,False,False,Accumulating,0.39,Physically backed,5229,False,,9.91,-1.81,4.78,13.61,21.99,48.37,64.02,85.58,34.12,9.41,5.32,3.71,,,14.96,14.68,15.34,3.22,1.22,0.86,-37.53,-6.01,-11.92,-18.34
IE00B60SX170,A0RGCQ,SC0H,10128435,Invesco MSCI USA UCITS ETF,2009-03-31,5803,15.898630136986302,Long-only,Ireland,USD,False,False,Accumulating,0.05,Swap based Unfunded,5214,False,,3.66,-0.53,0.55,5.99,17.15,27.75,58.1,101.75,32.89,22.54,-14.56,37.45,,,14.54,18.3,22.08,1.9,0.9,0.68,-34.03,-9.1,-16.79,-34.03
IE00B4YBJ215,A1JSHV,SPY4,14752663,SPDR S&P 400 US Mid Cap UCITS ETF,2012-01-30,4768,13.063013698630137,Long-only,Ireland,USD,False,True,Accumulating,0.3,Full replication,5163,False,401,1.83,-1.63,-2.79,1.08,12.11,17.51,35.55,65.79,20.47,11.76,-8.28,34.46,,,16.93,20.21,25.38,1.03,0.53,0.42,-41.98,-8.58,-15.65,-41.98
IE00B4WXJJ64,A0RL83,EUNH,10127508,iShares Core Euro Government Bond UCITS ETF (Dist),2009-04-17,5786,15.852054794520548,Long-only,Ireland,EUR,False,True,Distributing,0.07,Sampling,5146,False,491,-0.03,-0.68,0.73,0.1,1.04,3.52,-8.07,-12.3,1.75,7.04,-18.5,-3.51,2.08,2.11,4.7,7.24,6.28,0.75,-0.38,-0.41,-22.56,-3.51,-18.41,-22.56
IE000KXCEXR3,ETF093,F500,129574691,Amundi S&P 500 ESG UCITS ETF Acc,2016-06-29,3156,8.646575342465754,Long-only,Ireland,EUR,False,False,Accumulating,0.12,Full replication,5139,True,308,2.34,0.08,-0.04,4.06,13.9,25.7,,,32.03,,,,,,14.94,,,1.72,,,-9.13,-9.13,,
IE00B8GKDB10,A1T8FV,VGWD,20974572,Vanguard FTSE All-World High Dividend Yield UCITS ETF Distributing,2013-05-21,4291,11.756164383561643,Long-only,Ireland,USD,False,True,Distributing,0.29,Optimized sampling,5000,False,2123,5.5,0.27,2.63,5.27,11.09,19.09,30.82,50.91,16.36,7.64,0.09,27.72,2.87,3.31,10.17,11.35,15.45,1.87,0.82,0.55,-35.26,-7.03,-9.96,-35.26
